,County,FIPS,Total_Population,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Median_Income,Income_Error,IncomePerCap,IncomePerCapErr,Poverty_Percent,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,SVI_FULL,SVI_SOCIOECONOMIC,SVI_HOUSEHOLD,SVI_ETHNICITY,SVI_HOUSING,STRONGLY_HESITANT,HESITANT,Percentage_Vaccinated
33,Sacramento County,6067,1495400,730680,764720,22.8,45.7,9.5,0.4,15.1,1.1,1013094,60239,475,29693,258,16.7,22.6,38.4,19.6,24.8,7.9,9.3,77.1,10.4,2.7,1.9,2.4,5.5,26.9,666790,71.5,21.3,6.9,0.2,8.8,0.7338,0.5338,0.3563,0.9535,0.7603,0.04,0.12,0.4194456332753778
34,San Benito County,6069,58671,29208,29463,58.9,35.6,0.7,0.3,2.7,0.2,36368,80760,3889,30012,976,9.7,14.4,29.1,18.5,22.0,16.9,13.5,80.3,13.5,0.5,1.2,1.1,3.4,34.1,27688,76.0,16.6,7.3,0.1,8.8,0.5245,0.4978,0.3855,0.9771,0.1958,0.06,0.13,0.4526767909188526
35,San Bernardino County,6071,2121220,1055170,1066050,52.3,29.8,8.0,0.3,6.7,0.3,1332784,57156,594,22867,208,18.2,25.8,29.0,18.8,25.4,10.1,16.7,78.9,12.0,1.5,1.7,1.2,4.7,30.9,869658,77.3,16.2,6.4,0.1,9.9,0.9009999999999999,0.8277,0.4728,0.9825,0.8141,0.05,0.13,0.34560064491189035
36,San Diego County,6073,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,2207599,70588,617,34350,192,13.3,17.1,41.3,19.6,23.0,7.6,8.4,76.0,8.9,3.1,2.9,2.2,7.0,25.7,1536073,77.8,14.2,7.8,0.2,7.1,0.5596,0.3914,0.0621,0.9561,0.8411,0.04,0.11,0.6019648776595664
37,San Francisco County,6075,864263,440633,423630,15.3,40.8,5.1,0.2,33.9,0.3,641255,96265,1349,59508,760,11.7,11.4,55.0,16.5,19.5,3.5,5.5,34.3,6.8,34.0,11.1,7.1,6.7,32.8,504914,80.5,11.2,8.2,0.1,5.4,0.3911,0.2239,0.0035,0.9742,0.9497,0.03,0.07,0.64054923096326
38,San Joaquin County,6077,724153,360247,363906,40.8,33.2,6.7,0.2,14.8,0.5,442154,57813,863,24694,339,17.1,23.1,27.5,18.8,23.6,13.6,16.6,77.4,13.9,1.5,1.6,1.5,4.0,32.0,296264,79.0,14.4,6.4,0.2,10.1,0.8892,0.7618,0.5957,0.9812,0.8083,0.05,0.12,0.3841508631463241
39,San Luis Obispo County,6079,280119,142182,137937,22.2,69.4,1.8,0.4,3.6,0.1,214960,67175,1720,33972,632,13.8,12.9,39.2,20.6,22.0,10.1,8.2,74.8,9.9,1.4,3.9,3.2,6.7,21.8,129277,70.0,18.8,10.8,0.4,4.8,0.3739,0.2331,0.0465,0.8405,0.7832,0.04,0.11,0.4743162727269482
40,San Mateo County,6081,763450,376145,387305,24.9,39.9,2.3,0.1,27.2,1.4,494912,105667,1195,53516,554,7.3,8.7,47.4,17.2,22.0,6.0,7.4,68.7,10.6,10.4,2.6,2.8,4.8,28.2,404882,80.5,11.3,8.0,0.2,4.7,0.265,0.1185,0.0201,0.9682,0.6043,0.03,0.08,0.5977234920427009
41,Santa Barbara County,6083,442996,221955,221041,44.8,45.3,1.7,0.3,5.2,0.1,281009,68023,1420,32872,590,15.4,19.4,35.2,21.7,21.0,14.1,8.1,68.0,13.6,3.2,4.6,4.8,5.8,19.4,211793,75.7,16.0,8.1,0.2,6.6,0.7111,0.5188,0.1086,0.9672,0.9156,0.05,0.12,0.4922143766535138
42,Santa Clara County,6085,1911226,963317,947909,26.1,32.6,2.4,0.2,34.9,0.3,1162019,106761,858,48689,418,8.6,9.7,52.1,15.1,18.6,6.3,7.9,75.1,10.5,4.4,2.1,3.1,4.8,28.0,967294,84.7,9.3,5.9,0.1,5.7,0.3557,0.1933,0.0255,0.9815,0.731,0.03,0.08,0.5888759361791855
43,Santa Cruz County,6087,273263,135654,137609,33.3,57.8,0.8,0.2,4.4,0.1,189870,73663,1682,36388,789,14.7,17.0,40.7,18.8,21.3,10.9,8.2,69.2,9.0,2.8,4.5,7.0,7.5,26.8,133847,73.5,15.4,10.8,0.3,6.7,0.5429999999999999,0.4277,0.0274,0.9325,0.9035,0.04,0.1,0.5651661586091055
44,Shasta County,6089,178919,87753,91166,9.6,80.4,1.1,2.2,2.9,0.1,135637,47258,1104,26455,578,18.1,25.4,31.7,21.9,26.3,10.5,9.5,82.0,7.5,0.6,2.2,1.9,5.8,19.9,72195,73.3,16.5,10.0,0.2,6.8,0.7022,0.4895,0.7533,0.6202,0.815,0.05,0.13,0.3113308256808947
45,Sierra County,6091,2885,1488,1397,10.1,87.0,0.1,1.0,0.0,0.0,2419,44190,9650,31750,5272,12.3,10.6,30.2,18.3,17.5,19.4,14.6,66.5,11.4,0.0,3.4,0.7,18.1,29.6,1149,47.6,35.1,15.1,2.3,5.3,0.0452,0.1188,0.1054,0.2646,0.0882,0.04,0.11,0.46759098786828424
46,Siskiyou County,6093,43530,21706,21824,12.0,77.2,1.5,2.9,1.6,0.3,33669,40884,1957,24605,879,20.7,26.6,32.9,21.3,21.9,14.4,9.5,74.4,9.9,0.7,4.9,1.3,8.9,18.9,16544,63.0,22.5,14.3,0.3,9.1,0.7223,0.6019,0.7205,0.6928,0.6676,0.06,0.15,0.33935217091660924
47,Solano County,6095,434981,216074,218907,25.8,39.0,13.8,0.3,14.8,0.9,302379,72950,1244,31934,518,11.5,16.6,32.7,20.4,24.2,10.5,12.2,76.6,13.6,3.0,1.3,1.4,4.1,31.8,196309,74.9,18.5,6.5,0.1,8.5,0.5911,0.3697,0.2716,0.958,0.6905,0.04,0.11,0.45616245307266295
48,Sonoma County,6097,500943,245381,255562,26.4,63.8,1.4,0.5,3.9,0.3,354994,71769,1046,37767,713,10.7,13.1,37.2,20.0,22.4,10.6,9.8,75.0,11.0,1.9,3.1,2.1,6.9,25.2,249134,75.7,12.9,11.3,0.2,5.9,0.4035,0.2554,0.0853,0.8981,0.6472,0.04,0.1,0.5455950078152604
49,Stanislaus County,6099,535684,264824,270860,45.0,43.4,2.5,0.4,5.4,0.6,331295,54260,976,24007,467,17.2,23.2,27.2,18.0,23.8,14.4,16.7,80.5,10.9,0.8,1.5,1.7,4.6,28.2,219505,79.4,13.8,6.7,0.2,11.8,0.8675,0.8089,0.6428,0.9701,0.6043,0.05,0.13,0.39139492685986516
50,Sutter County,6101,95583,47613,47970,30.2,47.3,1.8,0.7,15.1,0.4,60187,54347,2000,24849,832,16.7,23.3,29.6,19.1,22.3,16.5,12.5,78.4,13.0,0.8,1.8,1.4,4.6,26.4,38207,76.7,16.7,6.1,0.5,10.5,0.8822,0.7885,0.7291,0.9643,0.6654,0.05,0.14,0.37305797055961837
51,Tehama County,6103,63247,31452,31795,24.2,69.2,0.6,1.5,1.4,0.0,45458,42512,2803,22631,948,20.9,30.9,23.7,22.1,23.6,14.3,16.3,81.2,9.4,0.3,2.9,1.5,4.7,23.5,23849,74.2,16.3,9.4,0.1,10.1,0.9624,0.8506,0.9761,0.8469,0.8456,0.05,0.14,0.24020111625847868
52,Trinity County,6105,13037,6603,6434,7.2,82.8,0.8,4.3,1.1,0.9,10463,36563,5946,23575,1598,19.9,24.5,30.3,27.6,21.1,9.1,11.8,69.3,9.5,0.1,3.8,2.2,15.1,17.4,4800,46.3,30.8,16.9,6.1,9.6,0.7411,0.657,0.8695,0.5304,0.6307,0.05,0.14,0.31402930121960576
53,Tulare County,6107,458809,229488,229321,63.6,29.5,1.3,0.7,3.2,0.1,249667,44871,1286,18962,394,27.1,36.2,25.0,18.1,20.2,22.6,14.2,78.0,14.3,0.7,1.7,2.2,3.1,22.5,173820,77.1,15.9,6.7,0.2,10.0,0.9417,0.9685,0.6336,0.9927,0.6371,0.06,0.14,0.3319878206399613
54,Tuolumne County,6109,53899,28029,25870,11.8,80.8,1.7,1.3,1.1,0.2,43977,54325,2700,31570,1699,13.6,13.8,32.8,25.6,21.2,11.7,8.7,80.3,8.5,0.6,2.4,1.7,6.5,27.0,20401,68.7,18.1,12.8,0.3,7.9,0.4688,0.3624,0.3607,0.5505,0.6692,0.05,0.12,0.39859737657470456
55,Ventura County,6111,847834,419536,428298,42.3,46.1,1.6,0.3,7.0,0.1,551510,81972,983,35771,447,10.3,14.4,37.8,17.1,23.3,11.7,10.0,78.2,11.5,1.3,1.8,1.5,5.7,26.6,410179,77.8,13.7,8.4,0.1,6.6,0.4828,0.3439,0.1162,0.9628,0.5508,0.04,0.1,0.4844686577797069
56,Yolo County,6113,212605,103617,108988,31.4,47.5,2.2,0.3,13.6,0.4,142947,61621,1733,30615,679,19.4,16.3,44.2,18.7,18.8,9.0,9.3,67.0,11.4,3.9,3.3,9.4,5.0,23.2,95944,66.7,27.1,6.2,0.0,7.2,0.6768,0.5656,0.0302,0.9497,0.9519,0.04,0.11,0.5116530655440841
57,Yuba County,6115,74644,38081,36563,27.4,56.3,3.2,1.0,6.3,0.3,49482,51776,2375,22814,791,18.5,25.0,29.3,19.9,24.1,13.8,13.0,78.3,13.4,1.0,1.2,1.4,4.8,30.7,27832,67.9,22.0,9.8,0.4,9.9,0.9420000000000001,0.8079999999999999,0.8265,0.9303,0.9077,0.05,0.14,0.27432881410428167
